!# Results of ROTMAS saved at 12-Oct-2007 (17:43:41)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 156.907
!# Red. Chi-square (N=94,n=2) : 1.705513
!# Parameter name  :            C        V200          MD          MG
!# Parameter value :     5.200940   121.625000     1.000000     1.000000 
!# Parameter error :     0.362430     3.663373     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.4019      1.03   43.2446         0     23.77     5.576   22.2345   48.6367         0         0   
   0.8039    -1.568    69.196         0      42.3     6.204   31.1818    75.881         0         0   
    1.206     -3.98   80.3144         0     56.24     6.558   37.8745   88.7076         0         0   
    1.608    -5.708   85.2999         0     67.49     6.965   43.3742   95.5239         0         0   
     2.01    -7.393   84.4578         0     76.42     7.424   48.0996   96.9125         0         0   
    2.412    -9.243     84.83         0     84.69      5.94   52.2669   99.2095         0         0   
    2.814    -10.85   85.4078         0     91.77     5.494   56.0057   101.555         0         0   
    3.216     -11.5   87.3389         0     99.19     4.859   59.4016   104.997         0         0   
    3.617    -10.98   90.3809         0     106.3     4.307   62.5071    109.34         0         0   
    4.019    -10.05   93.6938         0     113.5     4.031   65.3817   113.808         0         0   
    4.421    -9.169   97.6424         0     121.5     4.653   68.0511   118.663         0         0   
    4.823    -7.911   103.526         0     128.6     5.635   70.5415   125.025         0         0   
    5.225    -5.975   112.448         0     133.9     6.663   72.8743   133.864         0         0   
    5.627    -1.655   119.145         0     138.2     7.271   75.0667   140.811         0         0   
    6.029     5.834   122.389         0     140.4     7.032   77.1332   144.785         0         0   
    6.431     8.627   124.339         0     142.4     5.534   79.0859   147.612         0         0   
    6.833     10.96   126.141         0     142.8     3.916   80.9352   150.274         0         0   
    7.235      13.1   126.287         0     142.9     4.516   82.6901   151.518         0         0   
    7.637     15.21    125.49         0     143.2     6.099   84.3582   151.972         0         0   
    8.039     17.31    124.58         0     144.5      6.82   85.9465   152.337         0         0   
    8.441        19   123.829         0       146     6.666   87.4608   152.787         0         0   
    8.843     20.81    122.17         0     147.1     6.148   88.9065   152.522         0         0   
    9.245     22.47   120.884         0     148.4     5.116   90.2883   152.545         0         0   
    9.647     23.63   119.695         0     149.9     3.861   91.6106   152.571         0         0   
    10.05     24.99   119.066         0     151.1     3.192   92.8802   153.062         0         0   
    10.45     26.36   118.055         0       152     3.271   94.0884   153.246         0         0   
    10.85     27.22   117.346         0     152.6     3.623    95.248   153.568         0         0   
    11.25     27.75   116.121         0     153.4     3.846   96.3618   153.427         0         0   
    11.66     28.72   114.731         0     154.5     3.963   97.4587   153.252         0         0   
    12.06     30.19   113.405         0     155.7     3.685   98.4876   153.206         0         0   
    12.46      32.1   111.909         0     156.9     3.314   99.4779   153.134         0         0   
    12.86     34.06   110.461         0     157.8      3.22   100.432   153.128         0         0   
    13.26     35.71   108.865         0     158.5     3.254   101.351   152.967         0         0   
    13.67     36.67    107.18         0     158.7     3.245   102.259   152.608         0         0   
    14.07      37.2   105.833         0       158     3.218   103.113    152.37         0         0   
    14.47     37.54   104.492         0     156.6     3.391   103.937   152.088         0         0   
    14.87      37.8    103.09         0     155.2     3.873   104.733   151.741         0         0   
    15.27     38.02   101.767         0       153     4.865   105.502   151.436         0         0   
    15.68     38.09    100.37         0     151.1     5.308   106.264   151.053         0         0   
    16.08     37.81   99.0874         0       150     5.178   106.981   150.642         0         0   
    16.48     37.35   97.7796         0     150.1     5.031   107.676   150.166         0         0   
    16.88     37.22   96.5349         0     150.2     4.808   108.347   149.811         0         0   
    17.28     37.58   95.2858         0     150.3     4.512   108.997   149.573         0         0   
    17.69     38.05   93.9961         0     150.3     4.325   109.642   149.347         0         0   
    18.09     38.55   92.8785         0     150.5     4.283   110.251   149.224         0         0   
    18.49     39.15   91.6745         0     150.7     4.187   110.841   149.072         0         0   
    18.89     39.77   90.6011         0     151.3     4.309   111.412   149.006         0         0   
    19.29      40.6   89.4624         0       152     4.302   111.966   148.957         0         0   
     19.7     41.76   88.4003         0     152.8     4.196   112.516   149.058         0         0   
     20.1     42.84   87.3396         0       153     4.191   113.036   149.133         0         0   
     20.5      43.7   86.3494         0     153.1     4.314   113.541   149.189         0         0   
     20.9     44.38   85.3513         0     152.9     4.145    114.03   149.189         0         0   
     21.3     44.82   84.4074         0     151.6     3.687   114.505   149.147         0         0   
     21.7     44.82   83.4711         0     150.9      3.23   114.966   148.975         0         0   
    22.11     44.58   82.5532         0     150.7     3.021   115.424   148.745         0         0   
    22.51     44.29   81.6788         0     150.3     3.301   115.858   148.513         0         0   
    22.91     43.94   80.8274         0     149.8     3.622    116.28   148.273         0         0   
    23.31      43.5   80.0044         0     149.5     3.622   116.689   148.018         0         0   
    23.71     43.37   79.1969         0     149.7     3.438   117.086   147.859         0         0   
    24.12     43.75   78.3866         0       150     3.325   117.482   147.853         0         0   
    24.52     44.61    77.598         0     150.1     3.189   117.857   147.992         0         0   
    24.92     45.96   76.8737         0     149.9     3.226   118.221   148.318         0         0   
    25.32     47.34   76.1323         0     149.5     3.286   118.575   148.651         0         0   
    25.72     48.33   75.4395         0     149.1     3.473   118.919   148.891         0         0   
    26.13     49.19   74.7283         0     148.6     3.666   119.262   149.088         0         0   
    26.53     49.93   74.0655         0     148.2     3.855   119.586   149.264         0         0   
    26.93     50.46   73.4174         0     148.3     3.964   119.902   149.375         0         0   
    27.33     50.86   72.7816         0     148.2     3.947   120.209   149.446         0         0   
    27.73     51.14   72.1711         0     147.9     4.233   120.508   149.486         0         0   
    28.14      51.3   71.5512         0     146.8      4.21   120.805   149.483         0         0   
    28.54     51.41   70.9715         0     146.5     4.496   121.087   149.473         0         0   
    28.94     51.44   70.3981         0     146.1     4.574   121.362   149.434         0         0   
    29.34     51.32   69.8405         0     145.5     4.833   121.629   149.348         0         0   
    29.74     50.99   69.3021         0     145.4     4.866   121.888   149.196         0         0   
    30.15      50.8   68.7535         0     145.2     4.686   122.147   149.089         0         0   
    30.55     50.75   68.2287         0     145.2     4.502   122.392   149.032         0         0   
    30.95     50.69   67.7319         0     145.2     4.604   122.631   148.981         0         0   
    31.35     50.54   67.2391         0     145.1     4.507   122.863   148.899         0         0   
    31.75     50.48   66.7578         0     145.8     4.427   123.089   148.848         0         0   
    32.16     50.59   66.2814         0     146.6     4.296   123.315   148.859         0         0   
    32.56     50.71   65.8169         0     146.8     4.231   123.528   148.871         0         0   
    32.96     50.72   65.3777         0       147      4.52   123.736   148.854         0         0   
    33.36     50.63   64.9308         0     146.8     4.675   123.939   148.796         0         0   
    33.76     50.63   64.5067         0     147.1     4.806   124.135   148.775         0         0   
    34.17     50.83   64.0726         0       148     5.279   124.332    148.82         0         0   
    34.57     51.15   63.6612         0     148.7     5.226   124.518   148.908         0         0   
    34.97     51.54     63.26         0       149     4.756   124.699   149.023         0         0   
    35.37     51.99   62.8624         0     149.1     4.419   124.875   149.159         0         0   
    35.77     52.37   62.4815         0     147.9     4.317   125.046   149.275         0         0   
    36.17     52.53   62.0958         0     147.5     4.079   125.213    149.31         0         0   
    36.58     52.71   61.7174         0     147.5      3.62   125.379   149.356         0         0   
    36.98     52.85   61.3503         0     147.7     3.634   125.537   149.387         0         0   
    37.38     53.02    61.001         0     148.9     3.511    125.69   149.433         0         0   
    37.78     53.12   60.6456         0     149.7     3.424   125.839   149.449         0         0   
