!# Results of ROTMAS saved at 15-Oct-2007 (08:02:28)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 26.2499
!# Red. Chi-square (N=105,n=4) : 0.259900
!# Parameter name  :           RC         RHO          MB          MD          MG
!# Parameter value :     3.875470    57.981800     0.883542     0.331046     1.000000 
!# Parameter error :     0.981094    27.784328     0.078803     0.039557     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
    18.44     54.29   136.923    63.358     242.4     9.888   183.669   243.811         0         0   
    18.65     55.25   136.286    62.956     241.9     9.333   184.024   243.833         0         0   
    18.86     56.43   135.748   62.6335     242.8     8.928   184.371   243.983         0         0   
    19.08     57.18   135.195   62.2329     242.3     8.317   184.727   244.017         0         0   
    19.29     57.94   134.683   61.9208     240.8     8.601    185.06   244.086         0         0   
    19.51      58.6    134.13   61.5353     240.2     9.203   185.401     244.1         0         0   
    19.72     59.38   133.709   61.2302     239.7     8.832   185.721   244.224         0         0   
    19.94     60.12   133.331     60.92     239.7     8.831   186.049    244.37         0         0   
    20.15     61.19   132.975   60.5628       239     9.069   186.356   244.587         0         0   
    20.37     62.53   132.635    60.262     238.5     8.721   186.671   244.907         0         0   
    20.58     63.98   132.431   59.9181     239.2     7.779   186.966   245.312         0         0   
    20.79     65.15   132.169   59.6398     238.6     8.341   187.256   245.631         0         0   
    21.01     65.36   131.721   59.2947     238.3     7.595   187.553    245.59         0         0   
    21.22     65.42   131.272   59.0222     238.9      7.42   187.832   245.513         0         0   
    21.44     66.27    130.82   58.7437     238.5     8.039   188.118   245.652         0         0   
    21.65        66   130.264   58.4236     240.5     7.741   188.387   245.413         0         0   
    21.87     65.41   129.591   58.1535     242.2     4.737   188.663   245.046         0         0   
    22.08     64.47   128.972   57.8442     242.5     5.532   188.921   244.596         0         0   
    22.29     63.09   128.385    57.594     243.4     6.043   189.175   244.064         0         0   
    22.51     61.67   127.747   57.3358       245     5.868   189.437   243.508         0         0   
    22.72     61.15    127.25   57.0371     245.1     6.338   189.682   243.237         0         0   
    22.94     60.55   126.854   56.7856     243.9     5.761   189.934   243.018         0         0   
    23.15     60.12   126.477   56.4965     245.3     8.139    190.17   242.832         0         0   
    23.37     59.69    126.06   56.2522     246.7     7.523   190.414   242.643         0         0   
    23.58     59.38   125.711   55.9719     246.2     8.734   190.642   242.501         0         0   
    23.79     59.12   125.155   55.7454     247.3     8.251   190.867   242.274         0         0   
    24.01     58.44   124.637   55.5107     245.9     8.837   191.098    241.97         0         0   
    24.22     57.94   124.194   55.2401     247.9      8.39   191.315   241.732         0         0   
    24.44     57.76   123.828   55.0113     250.2     9.062   191.539   241.626         0         0   
    24.65     57.68   123.597   54.7484     250.8     8.984   191.749   241.595         0         0   
    24.87     57.52   123.487    54.526       253     7.802   191.966   241.623         0         0   
    25.08     57.44   123.444   54.2706     253.6     8.535   192.169   241.685         0         0   
     25.3     57.25   123.276   54.0543     255.1     8.489   192.378   241.673         0         0   
