!# Results of ROTMAS saved at 13-Oct-2007 (11:46:33)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 158.738
!# Red. Chi-square (N=288,n=3) : 0.556977
!# Parameter name  :           RC         RHO          MD          MG
!# Parameter value :     3.761450    28.590401     1.579930     1.000000 
!# Parameter error :     0.153597     1.909486     0.037342     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
    4.564     21.41   87.6668         0     120.5     7.834   77.5081   118.959         0         0   
    4.627     21.91   87.1268         0     121.2     7.553   78.1332   119.063         0         0   
    4.689     22.39    86.414         0     121.4     7.463   78.7392   119.032         0         0   
    4.752     22.25   85.9278         0     121.7     6.861   79.3459   119.056         0         0   
    4.814     21.82   85.5038         0     122.2     6.338   79.9342   119.065         0         0   
    4.877     22.14   85.1564         0     122.7     6.054   80.5232   119.272         0         0   
    4.939     22.95   84.7988         0     123.5      5.87   81.0943   119.557         0         0   
    5.002     23.44   84.2667         0     124.4     5.873   81.6662   119.665         0         0   
    5.064     23.72   83.8211         0     125.1     5.817   82.2208   119.787         0         0   
    5.127     24.13   83.4738         0     125.9     5.933   82.7761   120.008         0         0   
     5.19     24.52   83.0036         0     125.9     6.142   83.3234    120.14         0         0   
    5.252     24.58   82.5852         0     126.1     6.468   83.8541   120.233         0         0   
    5.315     24.42   82.0803         0     125.8     6.591   84.3857   120.227         0         0   
    5.377     24.57   81.6504         0     126.1     6.455   84.9014   120.328         0         0   
     5.44     24.78   81.4933         0     126.3      6.02   85.4179   120.629         0         0   
    5.502     24.64   80.9347         0     125.9     5.658   85.9189    120.58         0         0   
    5.565     24.61   80.4281         0     125.4     5.887   86.4208   120.594         0         0   
    5.627     24.71   80.2612         0       126     5.944   86.9078   120.853         0         0   
     5.69     24.58   79.9602         0       126     5.919   87.3957   120.979         0         0   
    5.752     24.42   79.6171         0     125.5     5.909    87.869   121.063         0         0   
    5.815     24.33   79.6829         0     125.1     5.917   88.3434   121.433         0         0   
    5.877     24.33   79.6288         0     125.4     5.576   88.8037   121.732         0         0   
     5.94     24.55   79.2605         0     125.7     5.371   89.2649   121.874         0         0   
    6.002     24.74   78.9728         0     125.9     5.086   89.7126   122.054         0         0   
    6.065     24.72   78.4937         0     126.9     4.891   90.1612   122.071         0         0   
    6.127     24.84   78.0918         0     127.4     4.766   90.5967    122.16         0         0   
     6.19     25.22    77.807         0       127     4.889   91.0331   122.381         0         0   
    6.252     25.49   77.5349         0     127.5     4.936   91.4569    122.58         0         0   
    6.315     25.55   77.2896         0     128.1     4.844   91.8816   122.755         0         0   
    6.377     25.73    77.016         0     128.6     4.853    92.294    122.93         0         0   
     6.44     25.95   76.7752         0     128.1     4.911   92.7074   123.136         0         0   
    6.503     25.94   76.5096         0     127.3     4.831   93.1153   123.276         0         0   
    6.565     25.83   76.3424         0       127     4.735   93.5114   123.449         0         0   
    6.628     25.74   76.2261         0     126.6     4.931   93.9085    123.66         0         0   
     6.69     25.58   75.9476         0     126.7      4.76   94.2942   123.749         0         0   
    6.753      25.4   75.5362         0     126.8     4.815    94.681   123.755         0         0   
    6.815      25.5   75.4232         0     126.7     4.774   95.0567   123.995         0         0   
    6.878     25.78   75.3818         0     126.8     4.638   95.4335   124.316         0         0   
     6.94     26.17   75.2442         0     126.8     4.775   95.7995   124.596         0         0   
    7.003     26.53   74.9939         0     126.9     4.565   96.1667   124.804         0         0   
    7.065     26.81   74.6828         0     126.5     4.618   96.5234   124.952         0         0   
    7.128      27.1   74.1789         0       126     4.804   96.8812   124.992         0         0   
     7.19     27.48   74.0907         0     126.3     4.816   97.2289   125.292         0         0   
    7.253     27.86   74.0923         0     126.7     4.753   97.5778   125.647         0         0   
    7.315     28.21   73.6961         0     126.2     4.775   97.9168   125.756         0         0   
