!# Results of ROTMAS saved at 16-Oct-2007 (20:02:24)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 239.62
!# Red. Chi-square (N=97,n=2) : 2.522317
!# Parameter name  :            C        V200          MB          MD          MG
!# Parameter value :    27.544399   116.056000     1.000000     1.000000     1.000000 
!# Parameter error :     1.265838     1.561755     0.000000     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
    21.17     41.59   54.9116   21.3903     190.2     6.854   178.426   192.453         0         0   
    21.47     41.62   54.5263   21.2402     190.3     6.748   178.184   192.109         0         0   
    21.77     41.73   54.1726   21.0933     190.1     6.716    177.94   191.791         0         0   
    22.08     41.87   53.7836   20.9446     189.9     6.517   177.687    191.46         0         0   
    22.38     42.01   53.4538   20.8037     189.8     5.839    177.44   191.154         0         0   
    22.68     42.01   53.0883   20.6655     189.9     5.042   177.192   190.807         0         0   
    22.98      41.9   52.7732   20.5302     189.7     5.078   176.942   190.449         0         0   
    23.29     41.69   52.4125    20.393     189.8     5.028   176.684   190.048         0         0   
    23.59     41.43   52.0793   20.2629     189.5     5.292   176.433   189.652         0         0   
    23.89     41.18   51.7731   20.1352     189.1     5.703   176.181   189.265         0         0   
    24.19     40.89   51.4468   20.0099     187.3      8.65   175.928   188.865         0         0   
     24.5     40.65   51.1497   19.8829     187.2     5.933   175.667   188.475         0         0   
     24.8     40.57   50.8373   19.7621     187.1     6.004   175.413   188.124         0         0   
     25.1     40.46   50.5577   19.6436     186.8     8.107   175.159   187.776         0         0   
     25.4     40.21    50.261   19.5272       186     8.472   174.905   187.393         0         0   
    25.71     39.99   49.9532   19.4091     184.6      5.72   174.642   187.005         0         0   
    26.01     39.93   49.6968   19.2969       185     5.514   174.387   186.675         0         0   
    26.31     39.84   49.4091   19.1865       185      5.88   174.132    186.33         0         0   
    26.61     39.59   49.1702   19.0779     185.1     5.367   173.878   185.964         0         0   
    26.92     39.25   48.8793   18.9678       186     5.071   173.614   185.557         0         0   
    27.22     39.09   48.6214   18.8629       187     4.519    173.36   185.207         0         0   
    27.52     38.91   48.3862   18.7597     187.1     4.201   173.105   184.858         0         0   
    27.82     38.61   48.1397   18.6583     187.9     4.888   172.851   184.482         0         0   
    28.13      38.3    47.932   18.5552     185.4     5.578   172.589   184.107         0         0   
    28.43     38.07   47.7125    18.457     186.6     5.446   172.335   183.755         0         0   
    28.73     37.77   47.5409   18.3603     188.6     5.325   172.082   183.401         0         0   
    29.03     37.47   47.3707   18.2652     185.8     6.396   171.829   183.048         0         0   
    29.34     37.29   47.2662   18.1685     179.6     6.018   171.568    182.73         0         0   
