!# Results of ROTMAS saved at 16-Oct-2007 (20:02:40)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 86.0568
!# Red. Chi-square (N=97,n=3) : 0.915498
!# Parameter name  :            C        V200          MB          MD          MG
!# Parameter value :    15.108700   124.328003     0.000000     2.532930     1.000000 
!# Parameter error :     1.851442     3.178020     0.000000     0.203230     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
    22.38     42.01   85.0727        -0     189.8     5.839   165.543   190.806         0         0   
    22.68     42.01    84.491        -0     189.9     5.042   165.564   190.565         0         0   
    22.98      41.9   83.9895        -0     189.7     5.078    165.58   190.333         0         0   
    23.29     41.69   83.4154        -0     189.8     5.028    165.59   190.043         0         0   
    23.59     41.43   82.8852        -0     189.5     5.292   165.595   189.758         0         0   
    23.89     41.18   82.3978        -0     189.1     5.703   165.595   189.491         0         0   
    24.19     40.89   81.8785        -0     187.3      8.65    165.59   189.199         0         0   
     24.5     40.65   81.4057        -0     187.2     5.933    165.58   188.934         0         0   
     24.8     40.57   80.9085        -0     187.1     6.004   165.566   188.691         0         0   
     25.1     40.46   80.4635        -0     186.8     8.107   165.548   188.461         0         0   
     25.4     40.21   79.9913        -0       186     8.472   165.525   188.186         0         0   
    25.71     39.99   79.5014        -0     184.6      5.72   165.498   187.908         0         0   
    26.01     39.93   79.0934        -0       185     5.514   165.468   187.696         0         0   
    26.31     39.84   78.6355        -0       185      5.88   165.434   187.455         0         0   
    26.61     39.59   78.2553        -0     185.1     5.367   165.397    187.21         0         0   
    26.92     39.25   77.7923        -0       186     5.071   165.355   186.908         0         0   
    27.22     39.09   77.3818        -0       187     4.519   165.311   186.665         0         0   
    27.52     38.91   77.0075        -0     187.1     4.201   165.265   186.431         0         0   
    27.82     38.61   76.6152        -0     187.9     4.888   165.215   186.163         0         0   
    28.13      38.3   76.2846        -0     185.4     5.578    165.16   185.914         0         0   
    28.43     38.07   75.9353        -0     186.6     5.446   165.105   185.675         0         0   
    28.73     37.77   75.6622        -0     188.6     5.325   165.047    185.45         0         0   
    29.03     37.47   75.3913        -0     185.8     6.396   164.986   185.225         0         0   
    29.34     37.29    75.225        -0     179.6     6.018   164.921   185.063         0         0   
