!# Results of ROTMAS saved at 13-Oct-2007 (11:46:21)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 251.903
!# Red. Chi-square (N=288,n=2) : 0.880780
!# Parameter name  :           RC         RHO          MD          MG
!# Parameter value :     2.086680    81.152496     1.000000     1.000000 
!# Parameter error :     0.054735     3.611421     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
  0.06252    -0.878   5.01335         0      1.98     6.926   2.39546   5.48644         0         0   
    0.125    -1.771   11.5621         0     15.78     7.691   4.78554   12.3874         0         0   
   0.1876     -2.74    18.917         0      22.3     4.584    7.1725   20.0447         0         0   
   0.2501    -3.448    25.385         0     32.16     4.542   9.54422   26.8998         0         0   
   0.3126    -3.847   30.7404         0     39.67     4.433   11.9009   32.7384         0         0   
   0.3751    -3.736   35.6968         0     46.24     4.892    14.239   38.2499         0         0   
   0.4377    -3.329   39.9872         0     53.31     5.425    16.559    43.152         0         0   
   0.5002    -3.488   43.5123         0     59.93     5.252   18.8502   47.2915         0         0   
   0.5627    -3.553   46.2506         0     63.97     4.703   21.1137   50.7177         0         0   
   0.6252    -3.157   48.3567         0     67.31     4.833   23.3466   53.6047         0         0   
   0.6878    -2.552    49.901         0     71.34     5.217   25.5501   56.0036         0         0   
   0.7503     -1.75   51.4722         0     75.57     5.835   27.7151   58.4333         0         0   
   0.8128    -1.157   52.9319         0     77.88     5.215   29.8431   60.7541         0         0   
   0.8753    0.9515   54.1831         0     78.48     4.769   31.9326      62.9         0         0   
   0.9379     1.491   55.1825         0     79.11     4.473   33.9854   64.8255         0         0   
        1     -1.75   56.0103         0     79.94     4.478   35.9812   66.5487         0         0   
    1.063    -3.049   56.8943         0     78.37     4.277   37.9636   68.3293         0         0   
    1.125    -3.095    57.788         0     78.17     5.311   39.8722   70.1404         0         0   
    1.188    -2.711   58.8068         0     80.29     5.612   41.7683   72.0797         0         0   
     1.25    -1.524   60.0885         0     81.05     4.532   43.5913   74.2193         0         0   
    1.313     2.252   61.5697         0     82.24     4.249   45.3999   76.5314         0         0   
    1.376     4.243   63.0176         0     84.09     4.042   47.1645   78.8271         0         0   
    1.438     5.631   64.2533         0     84.33     4.746   48.8583   80.9155         0         0   
    1.501     5.952   64.9212         0     85.52     5.536   50.5362    82.487         0         0   
    1.563      5.54   65.5686         0     87.43     6.061   52.1455   83.9589         0         0   
    1.626     4.284        66         0      89.9     6.303   53.7387   85.2185         0         0   
    1.688     1.864    66.299         0     91.76      6.55   55.2657   86.3327         0         0   
    1.751    -1.383   66.5819         0     93.15     6.431   56.7766   87.4918         0         0   
    1.813     3.054    66.748         0     93.87     6.196   58.2241   88.6266         0         0   
    1.876     4.459   67.0041         0     94.41     5.643   59.6559   89.8234         0         0   
    1.938     4.357    67.412         0     95.31     5.843   61.0271   91.0366         0         0   
    2.001     4.822   67.5996         0     96.72     5.987   62.3831   92.1119         0         0   
    2.063     5.207   67.6492         0     98.01      5.72   63.6816   93.0531         0         0   
    2.126     4.209   67.7901         0     97.78     6.124   64.9654   93.9879         0         0   
    2.188     2.869   67.7912         0     98.34     6.088   66.1948   94.7926         0         0   
    2.251    0.8887   68.1541         0     96.17     5.947   67.4104   95.8641         0         0   
    2.313    -2.144   68.4763         0     96.39     6.168   68.5744   96.8858         0         0   
    2.376    -2.411   68.6002         0     98.41     5.719   69.7254   97.7845         0         0   
    2.438    -3.313    68.857         0     98.95      5.65   70.8277   98.7262         0         0   
    2.501    -3.768   69.1446         0     97.96     5.947   71.9178   99.6943         0         0   
    2.563    -1.335   69.2229         0     98.02     5.535    72.962   100.566         0         0   
    2.626     3.758   69.4886         0     97.81     5.436   73.9949   101.578         0         0   
    2.689      4.56   69.7379         0     98.59      4.98   75.0002   102.514         0         0   
    2.751     4.388   70.0819         0     99.98      4.97   75.9636   103.447         0         0   
    2.814     2.929   70.6563         0     99.95     5.133   76.9169   104.485         0         0   
    2.876     -3.21   71.3142         0       100     4.688   77.8307   105.513         0         0   
    2.939     -4.77   71.7216         0     100.5     4.215   78.7351   106.398         0         0   
    3.001    -5.367   72.1809         0     101.5      3.98   79.6024   107.321         0         0   
    3.064    -5.373   72.6353         0     102.3     4.451   80.4611   108.264         0         0   
    3.126    -4.263   73.0818         0     103.4     4.389   81.2847   109.224         0         0   
    3.189     2.225   73.4724         0     104.1      4.25   82.1005   110.198         0         0   
    3.251     5.319   73.8671         0     104.8     4.151   82.8833    111.15         0         0   
    3.314      7.78   74.4548         0       106     4.658   83.6589   112.262         0         0   
    3.376     9.963   74.9267         0     107.8     5.368   84.4034   113.301         0         0   
    3.439     12.08   75.4266         0     108.8     5.801   85.1414   114.386         0         0   
    3.501     14.33   75.7881         0       110     5.913     85.85    115.41         0         0   
    3.564     16.21   75.9853         0     110.8     5.957   86.5527   116.309         0         0   
    3.626      17.4   75.9917         0     111.9     6.024   87.2277   116.988         0         0   
    3.689     17.95   75.6866         0     113.2     6.022   87.8973   117.374         0         0   
    3.751     18.05   75.3596         0     114.3     5.968   88.5407   117.662         0         0   
    3.814        18    74.952         0     114.8     5.845   89.1793   117.876         0         0   
    3.877     17.95   74.4254         0     115.8     5.533    89.803   118.008         0         0   
    3.939     17.97   73.8705         0     116.3      5.87   90.4027    118.12         0         0   
    4.002     18.19   73.2497         0     116.7     5.649   90.9981   118.225         0         0   
    4.064      18.4   72.9089         0     117.2     5.172   91.5709   118.488         0         0   
    4.127     18.73    72.517         0     117.5     5.133   92.1399    118.74         0         0   
    4.189     19.29   72.1894         0     118.3     5.236   92.6874   119.056         0         0   
    4.252     20.02     71.95         0     119.1     5.377   93.2315   119.456         0         0   
    4.314     20.62    71.584         0     119.2     5.942   93.7552   119.748         0         0   
    4.377     21.05   70.9592         0     119.5     6.878   94.2758   119.859         0         0   
    4.439     21.34   70.6755         0     120.6     7.367   94.7772   120.138         0         0   
    4.502      21.3   70.2439         0     120.4     7.718   95.2758   120.272         0         0   
    4.564     21.41   69.7455         0     120.5     7.834   95.7562   120.383         0         0   
    4.627     21.91   69.3159         0     121.2     7.553    96.234   120.606         0         0   
    4.689     22.39   68.7488         0     121.4     7.463   96.6945   120.737         0         0   
    4.752     22.25    68.362         0     121.7     6.861   97.1528    120.86         0         0   
    4.814     21.82   68.0247         0     122.2     6.338   97.5946   120.947         0         0   
    4.877     22.14   67.7483         0     122.7     6.054   98.0344   121.205         0         0   
    4.939     22.95   67.4638         0     123.5      5.87   98.4585   121.541         0         0   
    5.002     23.44   67.0405         0     124.4     5.873   98.8809   121.743         0         0   
    5.064     23.72    66.686         0     125.1     5.817   99.2884   121.934         0         0   
    5.127     24.13   66.4097         0     125.9     5.933   99.6943   122.194         0         0   
     5.19     24.52   66.0356         0     125.9     6.142   100.092   122.394         0         0   
    5.252     24.58   65.7027         0     126.1     6.468   100.476   122.542         0         0   
    5.315     24.42    65.301         0     125.8     6.591   100.859    122.61         0         0   
    5.377     24.57    64.959         0     126.1     6.455   101.229   122.762         0         0   
     5.44     24.78    64.834         0     126.3      6.02   101.597   123.043         0         0   
    5.502     24.64   64.3896         0     125.9     5.658   101.953   123.076         0         0   
    5.565     24.61   63.9866         0     125.4     5.887   102.308   123.154         0         0   
    5.627     24.71   63.8538         0       126     5.944   102.651    123.39         0         0   
     5.69     24.58   63.6143         0       126     5.919   102.993   123.525         0         0   
    5.752     24.42   63.3414         0     125.5     5.909   103.323   123.629         0         0   
    5.815     24.33   63.3937         0     125.1     5.917   103.653   123.914         0         0   
    5.877     24.33   63.3507         0     125.4     5.576   103.972   124.159         0         0   
     5.94     24.55   63.0577         0     125.7     5.371    104.29    124.32         0         0   
    6.002     24.74   62.8288         0     125.9     5.086   104.598     124.5         0         0   
    6.065     24.72   62.4476         0     126.9     4.891   104.905   124.563         0         0   
    6.127     24.84   62.1279         0     127.4     4.766   105.202   124.677         0         0   
     6.19     25.22   61.9013         0       127     4.889   105.499   124.892         0         0   
    6.252     25.49   61.6848         0     127.5     4.936   105.786   125.082         0         0   
    6.315     25.55   61.4897         0     128.1     4.844   106.073   125.241         0         0   
    6.377     25.73    61.272         0     128.6     4.853   106.351   125.406         0         0   
     6.44     25.95   61.0804         0     128.1     4.911   106.628   125.593         0         0   
    6.503     25.94   60.8691         0     127.3     4.831   106.901   125.721         0         0   
    6.565     25.83   60.7361         0       127     4.735   107.165   125.858         0         0   
    6.628     25.74   60.6436         0     126.6     4.931   107.428    126.02         0         0   
     6.69     25.58    60.422         0     126.7      4.76   107.684   126.099         0         0   
    6.753      25.4   60.0947         0     126.8     4.815   107.939   126.125         0         0   
    6.815      25.5   60.0048         0     126.7     4.774   108.187   126.314         0         0   
    6.878     25.78   59.9719         0     126.8     4.638   108.434   126.567         0         0   
     6.94     26.17   59.8624         0     126.8     4.775   108.674   126.801         0         0   
    7.003     26.53   59.6633         0     126.9     4.565   108.914   126.987         0         0   
    7.065     26.81   59.4158         0     126.5     4.618   109.146   127.129         0         0   
    7.128      27.1   59.0149         0       126     4.804   109.378   127.204         0         0   
     7.19     27.48   58.9447         0     126.3     4.816   109.604   127.447         0         0   
    7.253     27.86    58.946         0     126.7     4.753   109.829   127.723         0         0   
    7.315     28.21   58.6308         0     126.2     4.775   110.048   127.843         0         0   
    7.378     28.52   58.5933         0     126.1     4.523   110.267   128.083         0         0   
     7.44     28.78    58.461         0     126.4     4.326   110.479   128.263         0         0   
    7.503     28.93   58.1161         0     126.6     4.346   110.691   128.323         0         0   
    7.565     29.07   57.9054         0     127.1     4.361   110.897   128.438         0         0   
    7.628     29.09   57.5614         0     127.7     4.569   111.103   128.466         0         0   
     7.69     29.09   57.2945         0     128.1     4.667   111.303    128.52         0         0   
    7.753     29.45   57.1158         0     127.9     4.857   111.503   128.695         0         0   
    7.816      29.8    56.746         0     128.3     4.623   111.701   128.784         0         0   
    7.878     29.85   56.4632         0     128.1     4.432   111.892   128.837         0         0   
    7.941     30.16   56.2761         0     127.4     4.429   112.084   128.994         0         0   
    8.003     30.45   55.9588         0     127.8     4.099   112.271   129.086         0         0   
    8.066     30.25   55.8281         0     128.3     3.842   112.457   129.145         0         0   
    8.128     30.01   55.6491         0     128.5     4.034   112.638    129.17         0         0   
    8.191     29.91   55.2428         0     128.7     4.137    112.82   129.131         0         0   
    8.253     29.83   54.9527         0     129.1     4.092   112.996   129.142         0         0   
    8.316     30.01    54.705         0     129.2     4.198   113.173   129.234         0         0   
    8.378     30.46    54.539         0     129.2     4.378   113.344   129.419         0         0   
    8.441     30.74   54.4793         0     129.3     4.586   113.516   129.611         0         0   
    8.503     30.67   54.1886         0     129.4      4.73   113.683   129.618         0         0   
    8.566      30.6   53.7534         0     129.3     4.858   113.851   129.568         0         0   
    8.628     30.64   53.6312         0     129.2     4.982   114.013    129.67         0         0   
    8.691     30.74   53.4432         0     128.9     5.176   114.177   129.759         0         0   
    8.753     30.99   53.3305         0     128.9     5.194   114.335   129.912         0         0   
    8.816     31.33   53.2234         0     128.3     5.104   114.494   130.089         0         0   
    8.878     31.65    52.905         0     128.5     4.761   114.648   130.173         0         0   
    8.941     31.84   52.6105         0     128.4     4.699   114.803   130.236         0         0   
    9.003     31.79   52.5214         0     128.5     4.662   114.954   130.321         0         0   
    9.066     31.81   52.3613         0       128     4.809   115.105   130.395         0         0   
    9.129     31.83   52.2737         0     127.8     4.859   115.254   130.496         0         0   
    9.191     31.78   52.1636         0     127.5      4.51   115.399   130.568         0         0   
    9.254     31.77   51.8728         0       128     4.462   115.545   130.578         0         0   
    9.316     31.75   51.7158         0     128.2     4.679   115.686   130.636         0         0   
    9.379     31.81    51.611         0     127.9     4.566   115.828   130.735         0         0   
    9.441     31.94   51.4888         0     127.7     4.504   115.966   130.841         0         0   
    9.504     32.15   51.3542         0     127.8     5.378   116.105   130.962         0         0   
    9.566     32.51    51.111         0     127.7     4.901   116.239   131.076         0         0   
    9.629     32.88   50.7936         0     127.5     4.363   116.375   131.164         0         0   
    9.691     33.05   50.6396         0     127.6      4.31   116.506   131.264         0         0   
    9.754     33.09   50.5121         0     127.7       4.3   116.638   131.343         0         0   
    9.816     33.09   50.3949         0     127.6     4.438   116.767   131.412         0         0   
    9.879     33.48   50.2668         0     127.3     4.651   116.896   131.576         0         0   
    9.941     34.02   49.9795         0     127.4     4.704   117.021   131.717         0         0   
       10     34.27   49.7382         0     127.3     4.688   117.139   131.795         0         0   
    10.07     34.41   49.6042         0     127.3     4.423   117.278   131.904         0         0   
    10.13     34.35   49.4947         0     127.2     4.441   117.395   131.952         0         0   
    10.19     34.23   49.3869         0     127.4     4.289   117.511   131.983         0         0   
    10.25     34.33   49.2342         0     127.7     4.188   117.626   132.055         0         0   
    10.32     34.69   48.9068         0       128     3.976   117.758   132.145         0         0   
    10.38     35.08   48.7265         0     128.1     3.966    117.87   132.281         0         0   
    10.44     35.34   48.6287         0     128.3     3.959   117.981   132.413         0         0   
     10.5     35.34   48.5294         0     128.2     3.995   118.091   132.475         0         0   
    10.57     35.48   48.4127         0     128.6     3.833   118.218   132.582         0         0   
    10.63     35.76   48.1757         0       129      3.64   118.325   132.667         0         0   
    10.69     35.93   47.9209         0     129.8     3.548   118.431   132.715         0         0   
    10.75     36.03   47.7894         0     130.1     3.622   118.536   132.789         0         0   
    10.82      36.1   47.6937         0     130.3     3.611   118.657   132.881         0         0   
    10.88      36.3   47.5954         0     130.4     3.543    118.76   132.992         0         0   
    10.94     36.55   47.4804         0     130.4     4.284   118.862   133.111         0         0   
       11     36.66   47.2185         0     130.5     4.247   118.962   133.138         0         0   
    11.07      36.7   46.9852         0     130.8     3.351   119.079    133.17         0         0   
    11.13     36.74   46.8813         0     130.6      3.38   119.177   133.232         0         0   
    11.19     36.89   46.8127         0     130.6     3.313   119.275   133.337         0         0   
    11.25     37.14   46.7213         0     130.9     3.134   119.371   133.461         0         0   
    11.32     37.25    46.535         0     131.1     3.106   119.483   133.526         0         0   
    11.38     37.34   46.2852         0     130.8      3.13   119.577   133.549         0         0   
    11.44     37.35   46.1232         0     130.7      3.19   119.671   133.579         0         0   
     11.5     37.32   46.0293         0     130.5      3.18   119.763   133.622         0         0   
    11.57     37.31   45.9521         0     130.8     3.166    119.87   133.688         0         0   
    11.63     37.38   45.8582         0     130.9      3.89   119.961   133.757         0         0   
    11.69     37.53   45.6513         0     131.3     3.023   120.051   133.809         0         0   
    11.75     37.66   45.4337         0     131.5     2.965    120.14   133.851         0         0   
    11.82     37.71   45.2844         0     131.5     3.053   120.242   133.907         0         0   
    11.88     37.68   45.2028         0     131.7     3.169    120.33   133.949         0         0   
    11.94     37.57   45.1553         0       132      3.13   120.416   133.979         0         0   
       12     37.54   45.0394         0     131.8     3.131   120.501   134.009         0         0   
    12.07     37.45    44.783         0     132.2     3.164     120.6   133.987         0         0   
    12.13     37.36   44.6021         0     133.1     3.324   120.684   133.977         0         0   
    12.19      37.4   44.5025         0     133.1     3.218   120.767    134.03         0         0   
    12.25     37.48   44.4227         0     133.3     3.178   120.849     134.1         0         0   
    12.32     37.44   44.3655         0     132.9     3.189   120.944   134.155         0         0   
    12.38      37.5   44.2129         0     132.5      3.04   121.025   134.194         0         0   
    12.44     37.64   43.9998         0     132.9     3.948   121.105   134.236         0         0   
     12.5     37.71   43.8464         0     133.3     3.372   121.184   134.276         0         0   
    12.57     37.73   43.7436         0     133.4      3.39   121.276   134.331         0         0   
    12.63     37.71   43.7167         0     133.1     3.353   121.353   134.387         0         0   
    12.69     37.62   43.6248         0     133.2     3.488    121.43   134.401         0         0   
    12.75     37.55   43.4419         0     133.1     3.537   121.507   134.391         0         0   
    12.82      37.4   43.2241         0     133.9     3.615   121.595   134.359         0         0   
    12.88     37.36   43.1103         0     133.3     6.303    121.67   134.379         0         0   
    12.94     37.46   43.0316         0     133.4     3.781   121.744   134.449         0         0   
    13.01     37.46    42.999         0     133.9     3.714    121.83   134.516         0         0   
    13.07     37.29    42.881         0     134.2     4.379   121.902   134.497         0         0   
    13.13     37.17   42.6818         0     134.9      4.65   121.975   134.466         0         0   
    13.19     37.17   42.5178         0       135     4.179   122.046   134.479         0         0   
    13.26     37.11   42.4093         0     134.1      4.45   122.129   134.503         0         0   
    13.32     37.05   42.3403         0     134.3      4.59   122.199   134.529         0         0   
    13.38     36.95   42.3199         0     134.3     4.576   122.269   134.558         0         0   
    13.44     36.89   42.1802         0     135.4     4.159   122.338   134.561         0         0   
    13.51     36.99    41.968         0     136.5     4.006   122.418   134.594         0         0   
    13.57      37.1   41.8366         0     136.8     4.374   122.485   134.645         0         0   
    13.63     37.15   41.7556         0     137.4     3.889   122.553   134.695         0         0   
    13.69     37.29   41.6875         0     137.8     4.052   122.619   134.774         0         0   
    13.76     37.51    41.646         0     138.5     4.291   122.696   134.892         0         0   
    13.82     37.59   41.4709         0     139.4     4.718   122.762    134.92         0         0   
    13.88      37.5    41.314         0     139.1     4.675   122.827   134.906         0         0   
    13.94     37.51   41.2042         0     139.9     5.065   122.891   134.934         0         0   
    14.01     37.61   41.1194         0     141.2     4.729   122.966   135.003         0         0   
    14.07      37.5   41.1192         0     142.4     4.556   123.029    135.03         0         0   
    14.13     37.29   41.0117         0     142.9       4.8   123.092   134.997         0         0   
    14.19     37.26   40.8364         0     143.9     4.446   123.154   134.992         0         0   
    14.26      37.3   40.6698         0     141.4     4.846   123.226   135.019         0         0   
    14.32     37.27   40.5862         0     142.1     4.415   123.288   135.041         0         0   
    14.38     37.16   40.5216         0     141.6      4.61   123.348   135.047         0         0   
    14.44     37.11   40.5224         0     141.1     6.545   123.409   135.088         0         0   
    14.51     37.15   40.3647         0     139.8     4.895   123.478   135.116         0         0   
    14.57      37.2   40.2083         0     140.8     4.557   123.537   135.137         0         0   
    14.63     37.18   40.0847         0     140.3      4.94   123.596   135.149         0         0   
    14.69     37.16   40.0087         0     139.7     4.891   123.655   135.174         0         0   
    14.76     37.13   39.9397         0     140.2     4.893   123.722   135.207         0         0   
    14.82     36.98   39.9256         0     139.7     4.545   123.779   135.214         0         0   
    14.88     36.88     39.77         0     139.5     4.288   123.836   135.193         0         0   
    14.94     36.88   39.6311         0     138.5     4.278   123.893   135.204         0         0   
    15.01     37.01   39.5135         0     137.3     4.754   123.958   135.265         0         0   
    15.07      37.2   39.4469         0     138.3     4.406   124.014   135.349         0         0   
    15.13     37.35   39.3893         0       141     3.761   124.069   135.424         0         0   
    15.19     37.39   39.3647         0     141.6     3.656   124.123   135.478         0         0   
    15.26     37.35   39.1871         0     140.7     3.531   124.187   135.473         0         0   
    15.32     37.32   39.0585         0     139.5     3.432   124.241   135.477         0         0   
    15.38      37.3   38.9796         0     140.6     3.371   124.294   135.498         0         0   
    15.44     37.26   38.9184         0     139.5     3.475   124.347   135.518         0         0   
    15.51     37.24   38.9201         0     138.7     3.367   124.408   135.569         0         0   
    15.57     37.18   38.7918         0     139.5     3.159    124.46   135.564         0         0   
    15.63     37.06    38.653         0     141.1      3.13   124.512   135.539         0         0   
    15.69     36.92   38.5365         0       140     3.084   124.564   135.515         0         0   
    15.76     36.73   38.4567         0     140.1     3.011   124.623   135.495         0         0   
    15.82     36.58    38.403         0     140.9     2.845   124.674   135.486         0         0   
    15.88     36.45   38.4041         0     140.9     2.843   124.724   135.497         0         0   
    15.94     36.39   38.2649         0     140.5     3.088   124.774   135.488         0         0   
    16.01     36.26   38.1208         0     139.6     2.813   124.832   135.466         0         0   
    16.07     36.16   38.0292         0     138.2     3.083   124.881   135.458         0         0   
    16.13     36.14    37.967         0     136.5     4.838    124.93   135.481         0         0   
    16.19     36.24   37.9168         0     135.9     4.495   124.978   135.538         0         0   
    16.26     36.27    37.884         0     135.3     4.074   125.034   135.588         0         0   
    16.32     36.23   37.7471         0     136.1     5.706   125.082   135.584         0         0   
    16.38     36.15   37.6307         0     136.3     4.518   125.129   135.574         0         0   
    16.44     36.02   37.5544         0     135.7     4.072   125.176   135.561         0         0   
    16.51     35.79   37.4898         0     135.5     3.552   125.231   135.533         0         0   
    16.57      35.6   37.4408         0     135.5     3.318   125.277   135.512         0         0   
    16.63     35.44   37.3959         0     135.1      3.64   125.323     135.5         0         0   
    16.69     35.34   37.2715         0     134.9     2.521   125.368   135.482         0         0   
    16.76      35.2     37.15         0     134.3      2.02   125.421   135.461         0         0   
    16.82     35.05   37.0896         0     134.4     1.982   125.466   135.447         0         0   
    16.88     34.93   37.0386         0     135.4     1.907   125.511   135.444         0         0   
    16.94     34.87    37.052         0     134.5     1.987   125.555   135.473         0         0   
    17.01     34.91    36.905         0     133.7      2.03   125.607   135.491         0         0   
    17.07        35   36.7972         0     133.2     2.648   125.651   135.525         0         0   
    17.13     35.08   36.7098         0     133.2     2.348   125.694   135.563         0         0   
    17.19     35.09   36.6519         0       134     2.946   125.737   135.589         0         0   
    17.26        35   36.5987         0     134.3     4.443   125.787   135.598         0         0   
    17.32     34.97   36.5861         0     135.5     5.942    125.83   135.627         0         0   
    17.38     34.93   36.4635         0     135.3     5.264   125.872   135.622         0         0   
    17.44     34.89   36.3604         0     134.2     4.969   125.914   135.623         0         0   
    17.51     34.82   36.2773         0     134.6     4.842   125.963   135.628         0         0   
    17.57     34.74   36.2258         0     135.9     3.963   126.004   135.632         0         0   
    17.63     34.62   36.1837         0     137.3     4.521   126.045   135.629         0         0   
    17.69     34.59   36.1532         0     137.5     5.241   126.086   135.651         0         0   
    17.76     34.54   36.0257         0     138.6     5.564   126.133   135.648         0         0   
    17.82     34.53   35.9303         0     137.1     5.836   126.173   135.658         0         0   
    17.88     34.48   35.8744         0     136.9     5.429   126.213   135.667         0         0   
    17.94     34.49   35.8284         0     137.2      5.07   126.253   135.695         0         0   
    18.01     34.48   35.7805         0     138.5     4.721   126.299   135.723         0         0   
