!# Results of ROTMAS saved at 13-Oct-2007 (11:47:10)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 157.037
!# Red. Chi-square (N=288,n=3) : 0.551006
!# Parameter name  :            C        V200          MD          MG
!# Parameter value :    10.233900   108.275002     0.960987     1.000000 
!# Parameter error :     0.472636     1.891428     0.053703     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
  0.06252    -0.878   4.91458         0      1.98     6.926    13.239   14.0945         0         0   
    0.125    -1.771   11.3343         0     15.78     7.691    18.665   21.7649         0         0   
   0.1876     -2.74   18.5443         0      22.3     4.584    22.799   29.2606         0         0   
   0.2501    -3.448   24.8849         0     32.16     4.542   26.2477   36.0044         0         0   
   0.3126    -3.847   30.1348         0     39.67     4.433   29.2597   41.8263         0         0   
   0.3751    -3.736   34.9936         0     46.24     4.892   31.9591   47.2438         0         0   
   0.4377    -3.329   39.1994         0     53.31     5.425   34.4237   52.0625         0         0   
   0.5002    -3.488   42.6551         0     59.93     5.252   36.6941   56.1582         0         0   
   0.5627    -3.553   45.3394         0     63.97     4.703   38.8081   59.5744         0         0   
   0.6252    -3.157    47.404         0     67.31     4.833   40.7904   62.4583         0         0   
   0.6878    -2.552   48.9179         0     71.34     5.217   42.6626   64.8579         0         0   
   0.7503     -1.75   50.4582         0     75.57     5.835   44.4333   67.2107         0         0   
   0.8128    -1.157   51.8891         0     77.88     5.215   46.1171   69.4113         0         0   
   0.8753    0.9515   53.1157         0     78.48     4.769   47.7235   71.4123         0         0   
   0.9379     1.491   54.0954         0     79.11     4.473   49.2627   73.1803         0         0   
        1     -1.75   54.9069         0     79.94     4.478   50.7272   74.7325         0         0   
    1.063    -3.049   55.7734         0     78.37     4.277    52.155   76.2989         0         0   
    1.125    -3.095   56.6495         0     78.17     5.311   53.5078   77.8632         0         0   
    1.188    -2.711   57.6483         0     80.29     5.612   54.8335   79.5153         0         0   
     1.25    -1.524   58.9047         0     81.05     4.532   56.0936   81.3261         0         0   
    1.313     2.252   60.3567         0     82.24     4.249    57.332   83.2764         0         0   
    1.376     4.243   61.7761         0     84.09     4.042   58.5308   85.2065         0         0   
    1.438     5.631   62.9875         0     84.33     4.746   59.6744   86.9492         0         0   
    1.501     5.952   63.6422         0     85.52     5.536   60.8021   88.2193         0         0   
    1.563      5.54   64.2769         0     87.43     6.061   61.8799   89.3942         0         0   
    1.626     4.284   64.6998         0      89.9     6.303   62.9446   90.3683         0         0   
    1.688     1.864   64.9929         0     91.76      6.55   63.9639   91.2082         0         0   
    1.751    -1.383   65.2702         0     93.15     6.431   64.9723   92.0852         0         0   
    1.813     3.054    65.433         0     93.87     6.196   65.9391    92.945         0         0   
    1.876     4.459   65.6841         0     94.41     5.643   66.8968   93.8587         0         0   
    1.938     4.357   66.0839         0     95.31     5.843   67.8161   94.7897         0         0   
    2.001     4.822   66.2679         0     96.72     5.987   68.7278   95.5939         0         0   
    2.063     5.207   66.3165         0     98.01      5.72   69.6039   96.2792         0         0   
    2.126     4.209   66.4546         0     97.78     6.124   70.4737    96.956         0         0   
    2.188     2.869   66.4557         0     98.34     6.088   71.3102   97.5179         0         0   
    2.251    0.8887   66.8114         0     96.17     5.947   72.1415   98.3308         0         0   
    2.313    -2.144   67.1273         0     96.39     6.168   72.9417   99.1059         0         0   
    2.376    -2.411   67.2487         0     98.41     5.719   73.7375   99.7687         0         0   
