!# Results of ROTMAS saved at 16-Oct-2007 (20:00:57)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 356.322
!# Red. Chi-square (N=97,n=2) : 3.750753
!# Parameter name  :           RC         RHO          MB          MD          MG
!# Parameter value :     0.712810  1259.939941     1.000000     1.000000     1.000000 
!# Parameter error :     0.140863   474.922333     0.000000     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
    21.47     41.62   54.5263   21.2402     190.3     6.748   181.622   195.302         0         0   
    21.77     41.73   54.1726   21.0933     190.1     6.716   181.688   195.273         0         0   
    22.08     41.87   53.7836   20.9446     189.9     6.517   181.754   195.241         0         0   
    22.38     42.01   53.4538   20.8037     189.8     5.839   181.816   195.223         0         0   
    22.68     42.01   53.0883   20.6655     189.9     5.042   181.877   195.165         0         0   
    22.98      41.9   52.7732   20.5302     189.7     5.078   181.936   195.097         0         0   
    23.29     41.69   52.4125    20.393     189.8     5.028   181.995   194.996         0         0   
    23.59     41.43   52.0793   20.2629     189.5     5.292   182.052    194.89         0         0   
    23.89     41.18   51.7731   20.1352     189.1     5.703   182.106   194.793         0         0   
    24.19     40.89   51.4468   20.0099     187.3      8.65    182.16   194.683         0         0   
     24.5     40.65   51.1497   19.8829     187.2     5.933   182.213   194.591         0         0   
     24.8     40.57   50.8373   19.7621     187.1     6.004   182.264   194.528         0         0   
     25.1     40.46   50.5577   19.6436     186.8     8.107   182.314   194.467         0         0   
     25.4     40.21    50.261   19.5272       186     8.472   182.362   194.372         0         0   
    25.71     39.99   49.9532   19.4091     184.6      5.72   182.411   194.281         0         0   
    26.01     39.93   49.6968   19.2969       185     5.514   182.457   194.235         0         0   
    26.31     39.84   49.4091   19.1865       185      5.88   182.502   194.174         0         0   
    26.61     39.59   49.1702   19.0779     185.1     5.367   182.547   194.093         0         0   
    26.92     39.25   48.8793   18.9678       186     5.071   182.591   193.982         0         0   
    27.22     39.09   48.6214   18.8629       187     4.519   182.633   193.914         0         0   
    27.52     38.91   48.3862   18.7597     187.1     4.201   182.674   193.848         0         0   
    27.82     38.61   48.1397   18.6583     187.9     4.888   182.715   193.755         0         0   
    28.13      38.3    47.932   18.5552     185.4     5.578   182.756   193.671         0         0   
    28.43     38.07   47.7125    18.457     186.6     5.446   182.794   193.598         0         0   
    28.73     37.77   47.5409   18.3603     188.6     5.325   182.832   193.524         0         0   
    29.03     37.47   47.3707   18.2652     185.8     6.396   182.869    193.45         0         0   
    29.34     37.29   47.2662   18.1685     179.6     6.018   182.907   193.416         0         0   
