!# Results of ROTMAS saved at 12-Oct-2007 (17:42:44)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 73.7069
!# Red. Chi-square (N=94,n=3) : 0.809965
!# Parameter name  :           RC         RHO          MD          MG
!# Parameter value :     2.716190    47.409401     0.706550     1.000000 
!# Parameter error :     0.328051    11.389585     0.055744     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
    30.95     50.69   56.9331         0     145.2     4.604   128.531   149.435         0         0   
    31.35     50.54   56.5188         0     145.1     4.507   128.646   149.327         0         0   
    31.75     50.48   56.1143         0     145.8     4.427   128.759   149.251         0         0   
    32.16     50.59   55.7138         0     146.6     4.296   128.871   149.235         0         0   
    32.56     50.71   55.3234         0     146.8     4.231   128.979   149.224         0         0   
    32.96     50.72   54.9542         0       147      4.52   129.083   149.181         0         0   
    33.36     50.63   54.5786         0     146.8     4.675   129.186   149.101         0         0   
    33.76     50.63   54.2221         0     147.1     4.806   129.286   149.058         0         0   
    34.17     50.83   53.8572         0       148     5.279   129.386    149.08         0         0   
    34.57     51.15   53.5114         0     148.7     5.226   129.481   149.148         0         0   
    34.97     51.54   53.1742         0       149     4.756   129.574   149.243         0         0   
    35.37     51.99     52.84         0     149.1     4.419   129.666   149.359         0         0   
    35.77     52.37   52.5198         0     147.9     4.317   129.755   149.456         0         0   
    36.17     52.53   52.1956         0     147.5     4.079   129.842   149.475         0         0   
    36.58     52.71   51.8775         0     147.5      3.62   129.929   149.503         0         0   
    36.98     52.85   51.5689         0     147.7     3.634   130.013   149.519         0         0   
    37.38     53.02   51.2753         0     148.9     3.511   130.095   149.549         0         0   
    37.78     53.12   50.9766         0     149.7     3.424   130.175   149.552         0         0   
